,SUMMARY,SCIENTIFIC JUSTIFICATION,PROCEDURE,OBJECTIVES,METHODOLOGY,ELIGIBILITY,DATA MANAGEMENT,STATISTICAL,total
arms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,392.0
investigators,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,384.0
control,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,368.0
estimated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,368.0
history,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,368.0
necessary,0.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,360.0
ensure,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0,352.0
group,0.0,0.0,0.0,104.0,0.0,0.0,0.0,248.0,352.0
failure,0.0,0.0,0.0,104.0,0.0,248.0,0.0,0.0,352.0
baseline,0.0,0.0,0.0,96.0,248.0,0.0,0.0,0.0,344.0
characteristics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,336.0
m24,0.0,0.0,0.0,0.0,328.0,0.0,0.0,0.0,328.0
persons,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,328.0
contraception,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,328.0
overall,0.0,0.0,0.0,136.0,184.0,0.0,0.0,0.0,320.0
two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,320.0
compared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,320.0
secondary,0.0,0.0,0.0,104.0,0.0,0.0,0.0,208.0,312.0
positive,0.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,304.0
interim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,304.0
bd,0.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,296.0
methods,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,296.0
weeks,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,296.0
bayesian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,288.0
226,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,288.0
assessed,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,272.0
compare,0.0,0.0,0.0,272.0,0.0,0.0,0.0,0.0,272.0
informed,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,272.0
median,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,264.0
carcinoma,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,264.0
described,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,256.0
women,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,256.0
m1,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,256.0
age,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,248.0
design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0
potential,0.0,0.0,0.0,0.0,0.0,240.0,0.0,0.0,240.0
model,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0
18,0.0,0.0,0.0,0.0,0.0,232.0,0.0,0.0,232.0
drug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,232.0
treat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,232.0
posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,232.0
50,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0
intent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0
visit,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0
systemic,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0
set,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0
range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,216.0
heart,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0
16,0.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,216.0
included,0.0,0.0,0.0,0.0,0.0,216.0,0.0,0.0,216.0
statistical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,208.0
hiv,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,208.0
remission,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,208.0
m0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,208.0
hepatitis,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,208.0
tumor,0.0,104.0,0.0,104.0,0.0,0.0,0.0,0.0,208.0
haplo,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
collected,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,200.0
score,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,192.0
personal,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,192.0
obtained,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,192.0
without,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,192.0
well,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,192.0
free,0.0,88.0,0.0,104.0,0.0,0.0,0.0,0.0,192.0
responsible,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,184.0
names,0.0,0.0,0.0,0.0,0.0,0.0,184.0,0.0,184.0
month,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0
evaluated,0.0,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0
take,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
strictly,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
via,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
precautions,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
professional,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
addresses,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
circumstances,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
confidentiality,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
identity,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
identifying,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
secrecy,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0
shown,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0
assess,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,168.0
sent,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0
specialised,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0
particular,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0
unrelated,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
bound,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
article,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
relating,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
hsct,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0
articles,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
web,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0
immune,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,152.0
collaborators,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0
1121,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0
13,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,144.0
life,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0
reported,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
prophylaxis,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,128.0
vasculitis,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
estimate,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,120.0
pd,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
objective,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0
change,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0
terms,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0
mammography,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,112.0
related,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
matched,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
associated,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
100,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,96.0
21,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,96.0
sct,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
hla,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
identical,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
cryoglobulinemia,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
also,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
major,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
stem,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
studies,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
thus,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
